,MAL_ID,Name,Score,Genres,sypnopsis,Japanese name,poster_url
0,6680,Doujouji,6.0,"Supernatural, Historical","Based on an ancient legend, Dojoji Temple tells the story of a young priest who finds himself the object of intense infatuation and lust from a young woman. As he rebuffs her advances she becomes more and more desperate eventually turning herself into a gigantic serpent. The priest is hidden under the bell of the temple but the woman's passion is so intense that escape is impossible. A short animation from filmmaker Kihachiro Kawamoto. This film utilizes both stop motion and standard animation techniques.",道成寺,https://image.tmdb.org/t/p/w500/iru9uCiU6bKA8mC8cciUw7iKQuN.jpg
1,19291,Pokemon XY,7.28,"Action, Adventure, Comedy, Fantasy, Kids","Satoshi and Pikachu have arrived in Miare City of the illustrious Kalos region to capture more Pokemon and continue their journey towards becoming the very best. Meanwhile, a genius inventor named Citron and his little sister Eureka wander the city when they run into Satoshi who quickly challenges them to a battle. However, they are soon caught up in a dangerous incident when Team Rocket, following Satoshi into Kalos, cause a Gaburias to rampage through the city. Far away in the quiet Asame Town, a young girl named Serena slogs through daily Sihorn riding practice at the behest of her mother, a professional Sihorn racer. After practice, she sees the events unfolding in Miare City on television where she recognizes a boy from her childhood. Having left a significant impact on her life, the sight of him stirs in her a desire to meet him again; and so, Serena sets off to Miare City, determined to find the boy from her past. Pokemon XY follows the group as they travel throughout Kalos in pursuit of their ambitions—Satoshi challenging Pokemon gyms, Citron learning from Satoshi, and Serena searching for what exactly her dream is. Along the way, they meet new friends, face new rivals, and continue to thwart Team Rocket's schemes, all the while discovering a little about the mysteries of mega evolution.",ポケットモンスターXY,https://image.tmdb.org/t/p/w500/ujLIgISIV6Fv6j509SZp2Tmq2ZJ.jpg
2,1002,Top wo Nerae 2! Diebuster,7.67,"Action, Sci-Fi, Space, Comedy, Drama, Mecha","Generations have passed since the war with the Space Monsters started, and none remain who know how it began, with even records of those times being scarce. It is a lost cause, but humanity still fights against them, relying on the ""Topless"": a group of elite space pilots with special powers that allow them to use the Buster Machines—the last hope against the Space Monsters. Nono, a girl from a remote Martian town, has heard tales all her life of the legendary pilot ""Nono-Riri,"" and wants nothing more than to leave her humble life behind and follow in the footsteps of her idol. Though she has no idea of the dangers that lie ahead, nothing will stop her from achieving her dream. While Nono is down on her luck, she chances upon the lonesome Topless pilot Lal'C Melk Mark, and decides to stake her entire future on following Lal'C, no matter the cost.",トップをねらえ2！DIEBUSTER,https://image.tmdb.org/t/p/w500/vC5yypsMvYqsHYJsAEpgRfbfrWH.jpg
3,35842,FLCL Alternative,6.58,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi","fe seems to drift by for Kana Koumoto and her friends in their small Japanese town. Every day is just like the last, and it feels like every new day will be the same. Kana goes to school, hangs out with her friends, and likes to paint her nails and listen to music, but it feels like nothing special is ever going to happen. As a change of pace, Kana and her friends decide to design a bottle rocket and launch it into space, even though it might not get there at all. However, just when the rocket is completed, a robot suddenly crashes into and destroys it, shortly followed by a pink-haired woman claiming to be a ""Galactic Investigator."" Kana's life quickly becomes more exciting than she ever imagined, dealing with new feelings, changing friends, and even boy troubles. It turns out life can go by in the blink of an eye, fast enough to even miss it, so what's with these weird robots that seem to show up at the worst times?!",フリクリ オルタナ,https://image.tmdb.org/t/p/w500/oajMIMCROf3g0CaXvp8NnM25w7B.jpg
4,34445,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,7.65,"Drama, Fantasy, Magic, Slice of Life","Having fulfilled their destiny during the events of Yuuki Yuuna wa Yuusha de Aru , Sanshu Middle School's Hero Club—consisting of Yuuna Yuuki, Karin Miyoshi, and siblings Fuu and Itsuki Inubouzaki—is back in full swing, helping out those in need wherever they can. They have also gained a new member, a hero from the past named Sonoko Nogi. But eventually they notice that someone who should be among them, Mimori Tougou, is missing; any trace of her existence is completely gone, save for the girls' memories. With no leads on Tougou's whereabouts, the girls regain the ability to transform and begin the desperate search for their lost friend. But what they find is more shocking than any of them could ever have imagined, and the consequences of their actions begin to change life as they know it.",結城友奈は勇者である -勇者の章-,https://image.tmdb.org/t/p/w500/p7Iz1tt4qL3NFTm4FSPJ3Y3Xgpz.jpg
5,34438,Code Geass: Hangyaku no Lelouch I - Koudou,7.94,"Action, Military, Sci-Fi, Super Power, Mecha, School","The Holy Britannian Empire is a powerful nation that uses its military strength to expand its rule, and the small island nation of Japan is yet another victim. During a worldwide conflict in 2010 known as the Second Pacific War, the once-proud country was reduced to rubble and mockingly renamed to Area 11. However, one student plans to free Japan from Britannia's control through an extraordinary rebellion. His name is Lelouch Lamperouge, and he is fueled with hatred for the Empire, plotting to wipe its accursed name off the face of the planet. Lelouch's malicious plans are unexpectedly accelerated upon meeting the mysterious woman C.C., who grants him a supernatural ability known as ""Geass"" that makes anyone Lelouch commands unable to defy his will. Now armed with a devastating power, Lelouch assumes the persona of Zero, a revolutionary figure who carries the hopes and dreams of the oppressed around the world. He vows to restore the glorious nation of Japan and deliver divine retribution to Britannia.",コードギアス 反逆のルルーシュⅠ 興道,https://image.tmdb.org/t/p/w500/lRfTNdwfcXnECZXeZswMOSV3q36.jpg
6,1085,Interlude,6.47,"Adventure, Horror, Mystery","The unnamed main character has been having strange dreams, seeing strange things, and meeting strange people. He investigates these events and finds a strange girl named Aya. With her help, he discovers that his world may not in fact be real and many of the people he thinks he knows may not exist anymore. (Source: FUNimation)",インタールード,https://image.tmdb.org/t/p/w500/50oy1Tr5Y9huHDMiQE7aMqlgZc6.jpg
7,2077,Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin,7.06,"Mystery, School, Shounen","Invited for a anniversary celebration, Kindaichi, Miyuki and inspector Kenmochi re-visit the Opera House. There they discover that a play of ""The Phantom of the Opera"" is being rehearsed again. However, it doesn't take long when members of the acting troupe are killed by the ""Phantom"". Kindaichi will once again have to solve a murder series in the Opera House. (Source: ANN)",金田一少年の事件簿・オペラ座館・新たなる殺人,https://image.tmdb.org/t/p/w500/ioxxN0ycaJ66Ub67jviym3usqnx.jpg
8,29637,Samurai,4.92,"Drama, Romance",short film by Kuri Youji.,さむらい,https://image.tmdb.org/t/p/w500/btqkgfuJUjnEkKQXVv8OvBaOaCX.jpg
9,8491,Digimon Savers 3D: Digital World Kiki Ippatsu!,6.05,"Action, Adventure, Fantasy, Kids, Supernatural","The Digimon travel through the digital word and discover a Digimon eating away the Digital World, thus they resolve to save it.",デジモンセイバーズ3D デジタルワールド危機イッパツ！,https://image.tmdb.org/t/p/w500/akb9BVGICmd1UYs8ha2XtzHYb6x.jpg
