,user_id,anime_id,rating,watching_status,watched_episodes
37455202,121710,31043,10,2,12
33140512,107351,1369,8,2,1
53553659,173685,20,9,2,220
81787806,264766,916,7,2,13
30930281,100224,2961,8,2,1
100889352,325902,17549,8,2,12
88267926,285225,13055,10,2,2
95450472,308447,31636,7,1,7
45441873,147390,37569,7,2,12
24283565,78748,37999,7,2,12
27915130,90450,2899,7,2,1
107897877,349115,23273,6,1,1
64343293,208330,250,8,2,150
63303555,205143,15039,9,2,1
32780984,106334,17777,5,2,12
13689075,44504,31964,8,2,13
66611500,215572,32615,9,2,12
6315152,20752,16918,8,2,11
95589487,308937,481,8,3,154
75160338,243363,896,10,2,1
6965131,22825,243,8,2,13
3096974,10397,6927,10,6,0
68845980,222706,23285,6,2,1
97448950,314901,37349,7,2,12
50547391,163897,1575,10,2,25
4415898,14518,10408,8,2,1
92835388,299890,10620,10,2,26
26696128,86508,31043,10,2,12
53990785,175037,1575,10,2,25
18884690,61103,31964,9,2,13
26633045,86294,16353,6,2,13
34843383,113066,37999,9,2,12
59113185,191588,836,6,2,26
29202730,94643,15039,8,2,1
38069512,123596,12117,8,2,1
64665020,209352,13601,8,2,22
19893269,64241,21855,9,2,5
73812003,238986,471,8,2,13
45054262,146204,35720,8,2,6
18664630,60417,9834,7,2,13
11921839,38759,14407,8,2,1
84031205,271855,30,8,2,26
1342018,4642,14741,7,2,12
39880071,129597,2685,5,2,3
25686059,83307,16918,8,2,11
33173895,107470,1535,9,2,37
36744304,119315,11979,10,2,1
64949077,210241,11979,10,2,1
82443989,266969,5630,6,2,11
3454270,11459,23673,10,2,12
39885236,129615,2167,10,2,23
105174455,339968,23293,7,2,1
75113330,243225,13601,7,2,22
64809436,209782,31043,8,2,12
20364510,65844,55,6,2,26
52842005,171424,33010,5,2,1
59728569,193576,33729,8,2,1
42491289,137751,4654,6,2,24
62097198,201177,38408,9,2,25
75514199,244497,413,2,2,1
75474827,244376,2508,9,2,12
15566829,50522,1824,7,2,1
91628425,296050,21273,8,2,12
95005834,307063,2167,8,2,23
83080014,268968,10620,3,4,14
5993024,19652,10620,7,2,26
32699568,106088,33983,8,2,13
87830169,283884,13863,7,2,1
103034300,332962,25157,6,2,12
96739831,312514,25157,8,2,12
93511573,302140,4106,6,2,1
4736339,15627,37349,8,2,12
12182474,39585,10716,8,2,1
23217475,75103,25157,7,2,12
26198885,84989,1535,8,2,37
79341498,256932,5630,9,2,11
100651354,325193,25681,7,2,12
21440036,69334,31043,10,2,12
102085395,329863,36548,7,2,12
76453665,247679,5630,8,2,11
225746,754,15775,9,2,2
63105099,204510,10620,5,2,26
59053670,191382,13601,10,2,22
109136465,353132,12413,7,2,12
96731872,312485,20,6,2,220
11585661,37692,9000,7,2,1
35827048,116298,2961,7,2,1
11188294,36447,11771,9,2,25
11244128,36612,466,4,2,1
65559940,212176,13667,9,2,1
30282376,98138,14289,7,2,13
4989145,16471,13601,9,2,22
62003764,200878,10408,10,2,1
102445079,331041,25681,8,2,12
7870706,25746,1535,8,2,37
70480215,228093,8129,8,2,11
62441119,202310,9253,10,2,24
47471276,154102,11771,9,2,25
107158445,346666,2150,10,2,78
37327409,121307,101,9,2,13
101614209,328257,101,9,2,13
63884874,206965,2765,6,2,1
1712097,5834,1033,8,2,1
25857284,83867,2167,9,2,23
63175181,204756,298,2,2,12
90060147,291054,37520,9,2,24
60277061,195338,16157,10,2,12
102595578,331555,10686,5,2,1
79566976,257692,37999,8,2,12
14336669,46546,7711,6,2,1
18063800,58516,166,6,2,26
65285762,211296,31757,8,2,1
104978565,339297,41168,9,2,1
31795479,103105,431,6,2,1
64102258,207644,11981,9,2,1
48156813,156307,101,6,2,13
35175072,114146,11771,6,2,25
64264327,208127,6637,7,2,1
84762791,274280,27989,8,2,13
72177227,233611,19163,8,2,10
5940224,19497,39741,9,2,1
36382943,118150,31964,9,2,13
19489637,63011,1,8,2,26
55499493,180129,9253,9,2,24
8695052,28410,10012,10,2,12
30408130,98540,31043,6,2,12
32422542,105196,4896,7,2,26
104516202,337789,8689,10,2,1
5085112,16763,2890,9,2,1
54883690,178017,30,9,2,26
11331369,36902,25835,10,2,24
63999024,207276,23273,9,2,22
20007062,64657,2122,7,2,1
13119963,42666,19163,4,2,10
54120256,175473,9001,6,2,1
3711611,12288,2167,8,2,23
49344803,160040,16049,8,2,24
7183885,23555,382,7,2,4
1815845,6181,6547,8,2,13
61232956,198364,191,9,2,1
53097477,172215,31163,6,2,12
109005598,352726,869,6,2,1
101859862,329102,431,6,2,1
87049142,281387,13587,7,2,1
11479872,37364,14227,6,2,13
59430450,192575,325,3,2,25
12768197,41495,11981,8,2,1
97694704,315692,481,5,2,224
98415283,317984,23273,10,2,22
102518400,331300,861,8,2,24
78695929,254799,42897,7,1,9
35717334,115924,437,8,2,1
4342242,14268,13335,6,2,1
25985387,84252,27727,4,4,3
13229429,43009,9253,9,2,24
108238406,350187,37055,10,2,1
46669816,151372,80,9,2,43
64799254,209743,15227,10,2,1
2639727,8930,3503,4,2,12
16049937,52111,145,7,2,26
53909045,174779,24919,8,2,1
21654640,70084,23281,7,2,11
94735920,306100,2034,10,2,24
70456510,228014,14131,8,2,12
81287777,263233,9253,9,2,24
59760039,193683,1216,6,2,1
47408429,153892,4654,6,2,24
1066263,3629,496,7,2,1
85985823,278005,250,6,2,150
28598372,92683,32182,6,2,12
19878022,64188,10521,8,2,13
96837100,312826,6198,7,2,1
103257970,333711,1887,10,2,24
56346961,182790,25157,4,2,12
2457136,8252,14741,9,2,12
97324780,314502,25429,6,4,1
61495497,199174,10155,3,2,13
82621813,267581,36023,6,2,26
41009019,132978,431,8,2,1
101262828,327156,2116,7,2,128
76412220,247551,14741,8,2,12
52074111,168939,39619,8,2,1
48323410,156823,10620,8,2,26
10879177,35443,460,6,2,1
11305879,36803,10155,7,2,13
83679655,270863,14741,8,2,12
78781477,255109,985,10,2,1
16337465,53009,31636,6,4,2
36441262,118363,1,8,2,26
45676797,148132,4896,10,2,26
85930731,277862,39587,6,2,13
95370604,308224,34209,7,2,12
45392723,147284,23273,7,2,22
76026331,246208,9253,10,2,24
40077841,130166,7518,4,2,1
43099098,139756,8246,6,2,1
42799555,138783,1096,9,2,1
6606812,21662,31964,7,2,13
102834532,332372,20583,10,2,25
32438989,105260,28891,9,2,25
24467792,79359,20,10,2,220
33586458,108865,916,6,2,13
26982423,87451,895,5,2,1
43919625,142485,2272,7,2,1
92981098,300371,28623,9,2,12
34450056,111747,1361,6,2,1
